LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
31,110,110.0,110.0,1516.0,15,15,1,1,2,2,17,5,0,1516,0.0,0,1,1,110,110,0
27,76,38.0,38.0,762.5,15,13,2,2,7,4,9,2,6,1516,0.4435,0,2,2,76,69,0
16,51,51.0,51.0,1516.0,15,15,1,1,2,4,5,4,0,1516,0.0,0,1,1,51,51,0
109,247,247.0,247.0,1516.0,15,15,1,1,27,2,20,24,0,1516,0.0,0,1,1,247,247,0
49,116,116.0,116.0,1516.0,15,15,1,1,2,3,15,6,0,1516,0.0,0,1,1,116,116,0
74,170,170.0,170.0,1516.0,15,15,1,1,19,2,19,26,28,1516,0.0,0,1,1,170,170,0
26,75,34.5,36.0,762.5,15,13,2,2,7,3,6,2,6,1516,0.5294,0,2,2,75,66,0
89,183,183.0,183.0,1516.0,15,15,1,1,20,2,12,18,4,1516,0.0,0,1,1,183,183,0
241,479,221.5,230.5,761.5,15,9,2,2,16,3,31,37,2,1516,0.4357,0,2,2,479,436,0
19,215,215.0,215.0,1516.0,15,15,1,1,17,1,6,0,136,1516,0.0,0,1,1,215,215,0
158,254,254.0,254.0,1516.0,15,15,1,1,25,2,10,6,13,1516,0.0,0,1,1,254,254,0
81,191,55.0,59.33,514.67,15,4,3,3,17,2,21,33,16,1516,0.9649,0,3,2,191,150,0
90,174,174.0,174.0,1516.0,15,15,1,1,4,2,12,13,1,1516,0.0,0,1,1,174,174,0
126,227,95.5,104.5,771.0,15,6,2,2,32,2,10,11,10,1516,0.7272,0,2,2,227,181,1
232,504,149.33,158.67,512.33,15,3,2,2,41,2,32,58,0,1516,0.6252,0,3,2,504,434,0
44,90,43.0,44.0,767.5,15,13,1,1,10,2,8,12,1,1516,0.2623,0,2,2,90,86,0
52,146,72.0,72.5,759.0,15,13,1,1,9,2,15,16,0,1516,0.1044,0,2,2,146,144,0
105,235,235.0,235.0,1516.0,15,15,1,1,5,4,23,14,0,1516,0.0,0,1,1,235,235,1
17,49,49.0,49.0,1516.0,15,15,1,1,5,3,2,0,4,1516,0.0,0,1,1,49,49,0
228,425,199.5,206.0,764.0,15,10,2,2,53,1,15,118,55,1516,0.5558,0,2,2,425,370,0
82,179,179.0,179.0,1516.0,15,15,1,1,19,2,19,25,4,1516,0.0,0,1,1,179,179,0
132,244,121.0,121.5,762.5,15,15,2,2,34,2,15,21,213,1516,0.3002,0,2,2,244,231,0
15,56,56.0,56.0,1516.0,15,15,1,1,13,1,4,0,78,1516,0.0,0,1,1,56,56,0
83,207,91.5,97.5,762.0,15,3,2,2,25,2,12,14,140,1516,0.4424,0,2,1,207,188,0
12,45,45.0,45.0,1516.0,15,15,1,1,3,1,0,3,3,1516,0.0,0,1,1,45,45,0
91,236,69.33,74.0,510.67,15,12,3,3,3,5,13,6,3,1516,1.0234,0,3,2,236,179,0
71,149,73.5,74.0,759.0,15,13,1,1,18,1,12,25,0,1516,0.1027,0,2,2,149,147,0
